Jurassic World: Fallen Kingdom,"Action, Adventure, Sci-Fi",PG-13,4K&BR&DC,2018,128 min,"When the island's dormant volcano begins roaring to life, Owen and Claire mount a campaign to rescue the remaining dinosaurs from this extinction-level event.",51Children of Dune,"Adventure, Drama, Fantasy, Sci-Fi",UNRATED,Two-Disc DVD Set,2003ï¿½,266 min,"The twins of Paul ""Muad'dib"" Atreides become embroiled in the political landscape of Arrakis (""Dune"") and the rest of the universe.",N/AOperation Petticoat,"Comedy, Romance, War",NR,blu-ray Disc,1959,124 min,"During World War II, a commander finds himself stuck with a decrepit (and pink) submarine, a con man executive officer, and a group of army nurses.",N/AIn Harms Way,"Military, Drama",NR,DVD,1965,N/A,N/A,N/AMan of Steel,"Action, Adventure, Fantasy, Sci-Fi",PG-13,3-d,2013,143 min,"Clark Kent, one of the last of an extinguished race disguised as an unremarkable human, is forced to reveal his identity when Earth is invaded by an army of survivors who threaten to bring the planet to the brink of destruction.",55The Fifth Element,"Action, Adventure, Sci-Fi",PG-13,dvd,1997,126 min,"In the colorful future, a cab driver unwittingly becomes the central figure in the search for a legendary cosmic weapon to keep Evil and Mr. Zorg at bay.",52Transformers: Age of Extinction,"Action, Adventure, Sci-Fi",PG-13,blu-ray 3d,2014,165 min,"Autobots must escape sight from a bounty hunter who has taken control of the human serendipity: Unexpectedly, Optimus Prime and his remaining gang turn to a mechanic, his daughter, and her back street racing boyfriend for help.",32Dark Tower,"Horror, Mystery, Thriller",R,blu ray w/ultraviolet,1989,91 min,The construction of a skyscraper is being haunted by a ghost.,N/ASamson,"Action, Drama",PG-13,BR&DVD&DC,2018,110 min,"After losing the love of his life to a cruel Philistine prince, a young Hebrew with Supernatural strength defends his people, sacrificing everything to avenge his love, his people, and his God.",17Geostorm,"Action, Sci-Fi, Thriller",PG-13,,2017,109 min,"When the network of satellites designed to control the global climate starts to attack Earth, it's a race against the clock for its creator to uncover the real threat before a worldwide Geostorm wipes out everything and everyone.",21Hansel & Gretel: Witch Hunters,"Action, Fantasy, Horror",R,2 Disc,2013,88 min,"Hansel & Gretel are bounty hunters who track and kill witches all over the world. As the fabled Blood Moon approaches, the siblings encounter a new form of evil that might hold a secret to their past.",23Harry Potter and the Sorcerer's Stone,"Adventure, Family, Fantasy",PG,2 Disc,2001,152 min,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.",64Harry Potter and the Chamber of Secrets,"Adventure, Family, Fantasy, Mystery",PG,"DVD, Widescreen",2002,161 min,An ancient prophecy seems to be coming true when a mysterious presence begins stalking the corridors of a school of magic and leaving its victims paralyzed.,63Harry Potter and the Prisoner of Azkaban,"Adventure, Family, Fantasy, Mystery",PG,dvd,2004,142 min,"It's Harry's third year at Hogwarts; not only does he have a new ""Defense Against the Dark Arts"" teacher, but there is also trouble brewing. Convicted murderer Sirius Black has escaped the Wizards' Prison and is coming after Harry.",82Harry Potter and the Goblet of Fire,"Adventure, Family, Fantasy, Mystery",PG-13,"DVD Widescreen",2005,157 min,"A young wizard finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares.",81Harry Potter and the Order of the Phoenix,"Adventure, Family, Fantasy, Mystery",PG-13,DVD,2007,138 min,"With their warning about Lord Voldemort's return scoffed at, Harry and Dumbledore are targeted by the Wizard authorities as an authoritarian bureaucrat slowly seizes power at Hogwarts.",71Harry Potter and the Half-Blood Prince,"Adventure, Family, Fantasy, Mystery",PG,BR&DVD&DC,2009,153 min,"As Harry Potter begins his sixth year at Hogwarts, he discovers an old book marked as ""the property of the Half-Blood Prince"" and begins to learn more about Lord Voldemort's dark past.",78Harry Potter and the Deathly Hallows: Part 2,"Adventure, Drama, Fantasy, Mystery",PG-13,Blu-ray 3D/Blu-ray/DVD + Digital Copy,2011,130 min,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",87Harry Potter and the Deathly Hallows: Part 1,"Adventure, Fantasy, Mystery",PG-13,BR&DVD&DC,2010,146 min,"As Harry races against time and evil to destroy the Horcruxes, he uncovers the existence of three most powerful objects in the wizarding world: the Deathly Hallows.",65Venom,"Action, Sci-Fi",N/A,4K&BR&DC,2018,112 min,"When Eddie Brock acquires the powers of a symbiote, he will have to release his alter-ego ""Venom"" to save his life.",35Mission: Impossible - Fallout,"Action, Adventure, Thriller",PG-13,4K&BR&DC,2018,147 min,"Ethan Hunt and his IMF team, along with some familiar allies, race against time after a mission gone wrong.",86Justice League: Throne of Atlantis,"Animation, Action, Adventure, Sci-Fi",PG-13,4K&BR&DC,2015,72 min,"When Atlantian troops assault Metropolis as revenge for the death of their king, the Queen seeks help from the Justice League to find her son who has gone missing during the madness.",N/AKin,"Action, Sci-Fi",N/A,BR&DVD&DC,2018,102 min,"Chased by a vengeful criminal, the feds and a gang of otherworldly soldiers, a recently released ex-con, and his adopted teenage brother are forced to go on the run with a weapon of mysterious origin as their only protection.",35Ant-Man and the Wasp,"Action, Adventure, Comedy, Sci-Fi",PG-13,4K&BR&DC,2018,118 min,"As Scott Lang balances being both a Super Hero and a father, Hope van Dyne and Dr. Hank Pym present an urgent new mission that finds the Ant-Man fighting alongside The Wasp to uncover secrets from their past.",70Transformers: The Last Knight,"Action, Adventure, Sci-Fi",PG-13,4K&BR&DC,2017,154 min,"Autobots and Decepticons are at war, with humans on the sidelines. Optimus Prime is gone. The key to saving our future lies buried in the secrets of the past, in the hidden history of Transformers on Earth.",27Skyscraper,"Action, Adventure, Thriller",PG-13,4K&BR&DC,2018,102 min,"A security expert must infiltrate a burning skyscraper, 225 stories above ground, when his family is trapped inside by criminals.",51Frozen,"Animation, Adventure, Comedy, Family, Fantasy, Musical",PG,BR&DVD&DC,2013,102 min,"When the newly-crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter, her sister Anna teams up with a mountain man, his playful reindeer, and a snowman to change the weather condition.",74Solo: A Star Wars Story,"Action, Adventure, Fantasy, Sci-Fi",PG-13,,2018,135 min,"During an adventure into the criminal underworld, Han Solo meets his future co-pilot Chewbacca and encounters Lando Calrissian years before joining the Rebellion.",62Incredibles 2,"Animation, Action, Adventure, Comedy, Family, Sci-Fi",PG,4K&BR&DC,2018,118 min,Bob Parr (Mr. Incredible) is left to care for the kids while Helen (Elastigirl) is out saving the world.,80The House with a Clock in Its Walls,"Comedy, Family, Fantasy, Horror, Mystery, Sci-Fi, Thriller",N/A,4K&BR&DC,2018,105 min,A young orphan named Lewis Barnavelt aids his magical uncle in locating a clock with the power to bring about the end of the world.,57Space Cowboys,"Action, Adventure, Thriller",PG-13,DVD,Widescreen,2000,130 min,"When a retired engineer is called upon to rescue a failing satellite, he insists that his equally old teammates accompany him into space.",73
The World Is Not Enough,"Action, Adventure, Thriller",PG-13,DVD,Widescreen,1999,128 min,"James Bond uncovers a nuclear plot when he protects an oil heiress from her former kidnapper, an international terrorist who can't feel pain.",57
Tomorrow Never Dies,"Action, Adventure, Thriller",PG-13,DVD,Widescreen,1997,119 min,James Bond heads to stop a media mogul's plan to induce war between China and the UK in order to obtain exclusive global media coverage.,52
Never Say Never Again,"Action, Adventure, Thriller",PG,DVD,Widescreen,1983,134 min,"A SPECTRE agent has stolen two American nuclear warheads, and James Bond must find their targets before they are detonated.",68
Space Cowboys,"Action, Adventure, Thriller",PG-13,DVD,Widescreen,2000,130 min,"When a retired engineer is called upon to rescue a failing satellite, he insists that his equally old teammates accompany him into space.",73
The Rookie & the Bookie,"Short, Comedy",N/A,DVD,Widescreen,2014,4 min,"The Rookie & the Bookie is a ""who's on first"" comedy based on a true story.",N/A
Red Planet,"Action, Sci-Fi, Thriller",PG-13,DVD,Widescreen,2000,106 min,"Astronauts, and their robotic dog AMEE (Autonomous Mapping Evaluation and Evasion), search for solutions to save a dying Earth by searching on Mars, only to have the mission go terribly awry.",34
Resident Evil,"Action, Horror, Sci-Fi",R,DVD,Widescreen,2002,100 min,"A special military unit fights a powerful, out-of-control supercomputer and hundreds of scientists who have mutated into flesh-eating creatures after a laboratory accident.",33
Raid on Rommel,"Drama, War",GP,DVD,Widescreen,1971,99 min,"In 1942 Libya, a German-speaking British Intelligence officer uses former British POWs, some dressed in German uniforms, to fulfill a secret sabotage mission inside German-captured Tobruk.",N/A
Moulin Rouge,"Biography, Drama, Music",NOT RATED,DVD,Widescreen,1952,119 min,Fictional account of French artist Henri de Toulouse-Lautrec.,N/A
Patch Adams,"Biography, Comedy, Drama, Romance",PG-13,DVD,Both,1998,115 min,"The true story of a heroic man, Hunter ""Patch"" Adams, determined to become a medical doctor because he enjoys helping people. He ventured where no doctor had ventured before, using humour and pathos.",25
Oliver,Documentary,N/A,DVD,Widescreen,1983,45 min,N/A,N/A
The NeverEnding Story II: The Next Chapter,"Adventure, Drama, Family, Fantasy",PG,DVD,Both,1990,89 min,A young boy with a distant father enters a world of make-believe and magic through a portal within an antique book.,N/A
Tales from the Neverending Story: The Beginning,Fantasy,N/A,DVD,Both,2001,120 min,The sudden death of Bastian Bux's mother leads the twelve-year old boy to seek solace in his imagination. Inspired by a magical book given to him by an eccentric bookseller named Carl ...,N/A
Revenge of the Mummy: The Ride,"Thriller, Action, Adventure",N/A,DVD,Widescreen,2004,6 min,Pre-show video that plays before Universal Orlando's Revenge Of The Mummy Ride documents the strange going-ons on the set of The Mummy films as the cast and crew discuss whether or not the curse is real.,N/A
Snow White and the Seven Dwarfs,"Animation, Family, Fantasy, Musical, Romance",G,DVD,Widescreen,1937,83 min,"Exiled into the dangerous forest by her wicked stepmother, a princess is rescued by seven dwarf miners who make her part of their household.",95
The Sixth Sense: The Actors,Short,N/A,DVD,Widescreen,2000,7 min,A brief feature that showcases various cast members discussing the film.,N/A
Saving Private Ryan,"Drama, War",R,DVD,Widescreen,1998,169 min,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",90
Mimic,"Horror, Sci-Fi",R,DVD,Widescreen,1997,105 min,"Three years ago, entomologist Dr. Susan Tyler genetically created an insect to kill cockroaches carrying a virulent disease. Now, the insects are out to destroy their only predator, mankind.",55
Meet the Parents,"Comedy, Romance",PG-13,DVD,Widescreen,2000,108 min,"Male nurse Greg Focker meets his girlfriend's parents before proposing, but her suspicious father is every date's worst nightmare.",73
Matrix,"Action, Drama, Fantasy, Thriller",N/A,DVD,Widescreen,1993–,60 min,"Steven Matrix is one of the underworld's foremost hitmen until his luck runs out, and someone puts a contract out on him. Shot in the forehead by a .22 pistol, Matrix ""dies"" and finds ...",N/A
Lost in Space,"Action, Adventure, Family, Sci-Fi, Thriller",PG-13,DVD,Widescreen,1998,130 min,The Robinson family was going into space to fight for a chance for humanity. Now they are fighting to live long enough to find a way home.,42
Lethal Weapon 4,"Action, Crime, Thriller",R,DVD,Widescreen,1998,127 min,"With personal crises and age weighing in on them, LAPD officers Riggs and Murtaugh must contend with deadly Chinese triads that are trying to free their former leaders out of prison and onto American soil.",37
Labyrinth,"Adventure, Family, Fantasy, Musical",PG,DVD,Widescreen,1986,101 min,A 16-year-old girl is given 13 hours to solve a labyrinth and rescue her baby brother when her wish for him to be taken away is granted by the Goblin King.,50
K-PAX,"Drama, Sci-Fi",PG-13,DVD,Widescreen,2001,120 min,"PROT is a patient at a mental hospital who claims to be from a far away planet. His psychiatrist tries to help him, only to begin to doubt his own explanations.",49
Kiss of the Dragon,"Action, Crime, Drama, Thriller",R,DVD,Widescreen,2001,98 min,A betrayed intelligence officer enlists the aid of a prostitute to prove his innocence from a deadly conspiracy while returning a favor to her.,58
Jurassic Park III,"Action, Adventure, Sci-Fi, Thriller",PG-13,DVD,Widescreen,2001,92 min,"A decidedly odd couple with ulterior motives convince Dr. Grant to go to Isla Sorna, resulting in an unexpected landing, and startling new inhabitants on the island.",42
Jaws,"Adventure, Drama, Thriller",PG,DVD,Widescreen,1975,124 min,"When a killer shark unleashes chaos on a beach resort, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.",87
Harry Potter and the Sorcerer's Stone,"Adventure, Family, Fantasy",PG,DVD,Widescreen,2001,152 min,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.",64
"Crouching Tiger, Hidden Dragon","Action, Adventure, Fantasy, Romance",PG-13,DVD,Widescreen,2000,120 min,A young Chinese warrior steals a sword from a famed swordsman and then escapes into a world of romantic adventure with a mysterious man in the frontier of the nation.,93
Contact,"Drama, Mystery, Sci-Fi, Thriller",PG,DVD,Widescreen,1997,150 min,"Dr. Ellie Arroway, after years of searching, finds conclusive radio proof of extraterrestrial intelligence, sending plans for a mysterious machine.",62
Close Encounters of the Third Kind,"Drama, Sci-Fi",PG,DVD,Widescreen,1977,138 min,"Roy Neary, an electric lineman, watches how his quiet and ordinary daily life turns upside down after a close encounter with a UFO.",90
WWE: Hell in a Cell - The Greatest Hell in a Cell Matches of All Time,"Action, Sport",N/A,DVD,Widescreen,2008,N/A,Mick Foley hosts this compilation of fourteen of the first fifteen Hell in a Cell matches in WWE history.,N/A
Cats,Musical,N/A,DVD,Widescreen,1998,115 min,"Andrew Lloyd Webber's CATS, the most famous musical of all time, first exploded onto the West End stage in 1981. 'Memory', one of its many classic songs, became an instant worldwide hit. ...",N/A
